taxonomy,P1,P2,P3,P4,S1,S2,S3,S4,S5,PST,SST
Alloherpesviridae,0,0,0,0.1128,0,0,0,9.2,0,1.9961,0
Alphaflexiviridae,0,0,0.521354,0.47515,0,0,0,0,0.05084,1077.7858,82.707857
Alphatetraviridae,0,0,0,0,0,0,0,0,0,4.4656,0
Ascoviridae,70.935,0,0,0,0,0,0,38.944,0,0,0
Astroviridae,0,0,0,0,0,0,0,0,0,15.151,0.054472
Baculoviridae,546.29,0,0,0,0,0.10507,0.15734,0,0,11.07141,5.43948
Caliciviridae,0,0,0,0,0,0,0,0,0,0.49336,0.88044
Circoviridae,12.749617,14.383,8.189547,23.7413,20.445,8.763685,5.028623,1.9753,27.404148,567.8751,977.107105
Dicistroviridae,0,0.35157,0,0.3372,0,0,0,0,0,62.8147,859.292744
Flaviviridae,0,0.14789,0,0,0,0,0,0,27.396,0,0
Geminiviridae,137.71,8.2647,0.68626,1.8696,284.71,106.75,57.836,366.67562,35.318,41.8585,10.10117
Herpesviridae,145.5241,1119.9249,45.96155,60.79566,24.4107,28.8418,29.81787,22.20062,21.73776,28.84238,41.66281
Inoviridae,1759.3,6096.2637,1765.8337,2387.95758,1163.19,822.44128,1733.8452,1071.349,888.80225,1.64172,0.6493
Iridoviridae,216.459163,331.423439,45.293298,476.32033,44.20661,55.016444,257.39255,195.075934,34.561319,1306.155434,29.824105
Leviviridae,0,0,0,0,0,0,0,0,0,72.1388,3.43673
Marseilleviridae,0,0.082531,0,0,63.844,0,0,0,0,12.51553,6.22257
Microviridae,16.721433,4.290462,4.042674,2.810905,65.432171,25.666463,68.574557,39.90104,67.185896,6746.855079,1473.018328
Mimiviridae,473.825803,642.440134,1151.4307,1720.92396,614.2463,431.73,215.8838,647.8708513,581.019,69.436203,18.365015
Myoviridae,366.2876856,434.0257401,343.048138,147.771503,2115.875769,936.4446275,1211.095838,820.282146,853.86666,5650.567977,1704.537062
Nimaviridae,0,0,0,0,0,0,0,0,0,5.2093,2.0452
Nodaviridae,0,0,0,0,0,0,0,0,0,39.225,1.48751
Nyamiviridae,42.347,167.59,42.817,15.589,219.88,5.3726,18.429,8.9669,18.009,0,0
other virus,2430.80258,3190.240176,2148.3554,2160.717312,4602.907301,3091.336952,2942.085955,3009.353014,2643.556628,61404.93832,123574.7219
Papillomaviridae,742.71,625.17,919.55,677.94,271.94,105.03,132.15,196.47,204.31,0.6167,0
Parvoviridae,0.36384,0.13357,3.8207,0.32911,252.16969,40.980099,0.41512,1.826192,1.461082,2109.2637,41.084206
Phycodnaviridae,42.376506,105.736689,45.122035,2.21168,139.43607,30.967922,65.681089,136.10688,247.46018,87.788125,172.59801
Picobirnaviridae,0,0,0,0,0,0,0,0,0,9.1877,0.28366
Picornaviridae,0,0,0,0,0,0,0,0,0,11.0233,4.05534
Podoviridae,3328.704209,8.696335,76.113026,12.4886411,501.810482,268.6364276,102.15128,143.727354,628.426017,3888.64747,2843.343739
Polydnaviridae,195.245,200.42606,158.8696,60.39405,73.28501,25.60749,28.84,37.2719,46.2755,33.33818,2.1359
Poxviridae,219.0832,18.1678,2.0412,107.22507,37.63,65.92047,8.109736,0.20143,154.05855,41.89948,13.83448
Retroviridae,286.47851,356.57383,87.12148,421.23907,26.75225,106.638103,2.18238,35.94211,43.69233,0.20898,0.222295
Secoviridae,0,0,0,0,0,0,0,0,0,2.7638,0
Siphoviridae,799.7328,534.552062,8968.841935,490.901526,2654.942017,1634.771168,1253.467708,1517.665665,1455.386205,3425.54693,4917.156441
Sphaerolipoviridae,0,22.425,0.17375,5.68,0,0,0,0,0,0,0
Tectiviridae,0,0,0,0,21.717,0,0,0,0,0,0
Tombusviridae,0,0.067265,0,0,0,0,0,0,0,231.9586,183.29873
Totiviridae,0,0,570.52,0.10165,0,0,0,0,0,0.19471,0
Virgaviridae,7.140095,20.56922,545.921142,20.33609,18.731602,7.956,11.274029,199.392521,8.13958,178397.2805,43573.02324